"X","Y","OBJECTID","CreationDate","Creator","EditDate","Editor","GlobalID","AreaID","UNIT_CODE","Park Name","DATE_EDIT","State","REGION","GNIS_ID","UNIT_TYPE","CREATED_BY","PARKNAME"
"-10366918.08","5608090.1607","         267","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","838da770-d0a3-404f-844f-b0ba471db4a9","         277","MISS","Mississippi National River and Recreation Area","2018/05/10 00:00:00+00","MN","MW","1888944","National River","Lands","Mississippi"
"-10325140.85","5658429.5121","         268","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","e7631b35-2d34-4f0d-8d4d-04c0ab1f46df","         278","LOSA","Lower Saint Croix National Scenic Riverway","2022/04/18 00:00:00+00","MN","MW","2738286","National Wild & Scenic River","Lands","Lower Saint Croix"
"-10057904.57"," 4657677.106","         269","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","ce59e21c-1894-4982-8a42-18f4a9903077","         280","ULSG","Ulysses S. Grant National Historic Site","2008/07/01 00:00:00+00","MO","MW","2733425","National Historic Site","Lands","Ulysses S Grant"
"-10339971.94","6184680.5657","         270","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","6aefc2c9-caeb-4f8b-ac4b-19da174b9739","         281","VOYA","Voyageurs National Park","2016/08/15 00:00:00+00","MN","MW","660491","National Park","Lands","Voyageurs"
"-11343565.23","5441423.6602","         271","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","6525a2b1-9dbe-403c-aa71-3c1352f62b1a","         282","MIMI","Minuteman Missile National Historic Site","2020/02/03 00:00:00+00","SD","MW","2733442","National Historic Site","Lands","Minuteman Missile"
"-10502642.51","3564782.8439","         272","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","bb7ba50a-4f01-44b6-a654-3459606b134f","         283","BITH","Big Thicket National Preserve","2018/03/27 00:00:00+00","TX","IM","1888902","National Preserve","Lands","Big Thicket"
"-10353405.97","3719420.6872","         273","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2edcbbf6-3fe8-4ad1-afad-5f65ed7b29cb","         284","CARI","Cane River Creole National Historical Park","2009/07/28 00:00:00+00","LA","SE","2733428","National Historical Park","Lands","Cane River Creole"
"-10026263.73","3498809.7299","         274","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","9b008355-adfe-4ae4-b59a-030fab1b704d","         285","JAZZ","New Orleans Jazz National Historical Park","2017/11/08 00:00:00+00","LA","SE","2035602","National Historical Park","Lands","New Orleans Jazz"
"-11275374.34","3449598.3836","         275","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","292173d1-5767-42be-a0a6-903b5b1b97d8","         286","AMIS","Amistad National Recreation Area","2019/07/22 00:00:00+00","TX","IM","1329499","National Recreation Area","Lands","Amistad"
"-10168730.24","4031608.3443","         276","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","61c070fa-3add-42a7-a916-66dd0d9dc1da","         287","ARPO","Arkansas Post National Memorial","2010/12/13 00:00:00+00","AR","MW","2733432","National Memorial","Lands","Arkansas Post"
