YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,FLT_DEP_IFR_2,FLT_ARR_IFR_2,FLT_TOT_IFR_2
2022,1,JAN,2/1/2022,EBBR,Brussels,Belgium,213,202,415,213,202,415
2022,1,JAN,2/1/2022,EBCI,Charleroi,Belgium,78,79,157,78,79,157
2022,1,JAN,2/1/2022,EBLG,LiÃ¨ge,Belgium,34,26,60,,,
2022,1,JAN,2/1/2022,EBOS,Ostend-Bruges,Belgium,7,9,16,,,
2022,1,JAN,2/1/2022,LQSA,Sarajevo,Bosnia and Herzegovina,3,0,3,,,
2022,1,JAN,2/1/2022,LBSF,Sofia,Bulgaria,89,96,185,89,96,185
2022,1,JAN,2/1/2022,LDZA,Zagreb,Croatia,51,48,99,50,47,97
2022,1,JAN,2/1/2022,LCLK,Larnaca,Cyprus,59,60,119,,,
2022,1,JAN,2/1/2022,LCPH,Paphos,Cyprus,28,27,55,,,
2022,1,JAN,2/1/2022,LKKV,Karlovy Vary,Czech Republic,2,3,5,,,
2022,1,JAN,2/1/2022,LKMT,Ostrava,Czech Republic,4,4,8,,,
2022,1,JAN,2/1/2022,LKPR,Prague,Czech Republic,153,153,306,150,150,300
2022,1,JAN,2/1/2022,LKTB,Brno-TuÅ™any,Czech Republic,4,6,10,,,
2022,1,JAN,2/1/2022,EKCH,Copenhagen - Kastrup,Denmark,259,240,499,259,241,500
2022,1,JAN,2/1/2022,EETN,Tallinn,Estonia,42,41,83,41,41,82
2022,1,JAN,2/1/2022,EFHK,Helsinki - Vantaa,Finland,179,176,355,179,176,355
2022,1,JAN,2/1/2022,LFBD,Bordeaux-MÃ©rignac,France,63,63,126,,,
2022,1,JAN,2/1/2022,LFBH,La Rochelle-Ile de RÃ©,France,1,1,2,,,
2022,1,JAN,2/1/2022,LFBI,Poitiers-Biard,France,1,1,2,,,
2022,1,JAN,2/1/2022,LFBL,Limoges-Bellegarde,France,6,7,13,,,
2022,1,JAN,2/1/2022,LFBO,Toulouse-Blagnac,France,93,90,183,91,88,179
2022,1,JAN,2/1/2022,LFBP,Pau-PyrÃ©nÃ©es,France,10,9,19,,,
2022,1,JAN,2/1/2022,LFBT,Tarbes-Lourdes PyrÃ©nÃ©es,France,6,4,10,,,
2022,1,JAN,2/1/2022,LFBZ,Biarritz-Bayonne-Anglet,France,20,18,38,,,
2022,1,JAN,2/1/2022,LFCR,Rodez-Marcillac,France,4,2,6,,,
2022,1,JAN,2/1/2022,LFGJ,DÃ´le-Tavaux,France,2,3,5,,,
2022,1,JAN,2/1/2022,LFJL,Metz-Nancy-Lorraine,France,1,0,1,,,
2022,1,JAN,2/1/2022,LFJR,Angers-MarcÃ©,France,2,2,4,,,
2022,1,JAN,2/1/2022,LFKB,Bastia-Poretta,France,22,22,44,,,
2022,1,JAN,2/1/2022,LFKC,Calvi-Sainte-Catherine,France,6,5,11,,,
2022,1,JAN,2/1/2022,LFKF,Figari-Sud Corse,France,9,8,17,,,
2022,1,JAN,2/1/2022,LFKJ,Ajaccio-NapolÃ©on-Bonaparte,France,25,27,52,,,
2022,1,JAN,2/1/2022,LFLB,ChambÃ©ry-Aix-les-Bains,France,36,35,71,,,
2022,1,JAN,2/1/2022,LFLC,Clermont-Ferrand-Auvergne,France,5,5,10,,,
